"target_unit_2001","n_source_districts","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","n_rural_people","n_urban_people","preferred_eligible","support_reason"
"pc2001__09__50",1,536,13,2211300.99875,154.573120351899,488,48,TRUE,
"pc2001__09__52",1,664,15,2755487.31875,200.558601223712,549,115,TRUE,
"pc2001__09__53",1,710,18,2658112.69125,297.243263269738,492,218,TRUE,
"pc2001__09__54",1,803,19,2997987.7775,311.258656882997,728,75,TRUE,
"pc2001__09__55",1,464,12,2037534.04375,291.521677166366,399,65,TRUE,
"pc2001__09__60",1,651,15,2745537.80125001,292.510955561704,536,115,TRUE,
"pc2001__09__61",1,877,23,2993973.04500001,398.030609243743,694,183,TRUE,
"pc2001__09__62",1,670,16,2074586.44625,371.833230008098,390,280,TRUE,
"pc2001__09__63",1,471,12,1915062.10375,248.202586055035,406,65,TRUE,
"pc2001__09__64",1,877,23,3620384.59000001,515.874118633804,789,88,TRUE,
"pc2001__09__65",1,545,14,2333632.415,223.493353944596,447,98,TRUE,
"pc2001__09__66",1,461,11,1721491.7025,187.436552499486,305,156,TRUE,
"pc2001__09__67",1,1075,26,3562578.55625,479.308621251434,403,672,TRUE,
"pc2001__09__69",1,388,11,2017848.84375,194.764145168111,388,0,TRUE,
"pc2001__09__70",1,201,6,901728.02375,63.4655854250245,130,71,FALSE,"low_kish_effective_n"
"pc2001__10__01",1,764,17,3312741.38,287.707801388002,550,214,TRUE,
"pc2001__10__02",1,996,24,4924378.97499998,279.1154265231,872,124,TRUE,
"pc2001__10__03",1,69,2,325223.925,28.990792132369,69,0,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__10__04",1,527,15,2749490.15874999,181.502527309528,423,104,TRUE,
"pc2001__10__05",1,578,15,2971038.30624999,180.896497357049,459,119,TRUE,
"pc2001__10__06",1,348,9,1709927.00625,95.8485452601664,307,41,FALSE,"low_kish_effective_n"
"pc2001__10__08",1,286,7,1528483.91,56.0111867089759,207,79,FALSE,"low_kish_effective_n"
"pc2001__10__09",1,646,18,2620294.52625,119.259778310346,396,250,TRUE,
"pc2001__10__10",1,713,20,3819205.29875,179.959140074775,623,90,TRUE,
"pc2001__10__11",1,277,8,930139.252499997,68.9494244649963,196,81,FALSE,"low_kish_effective_n"
"pc2001__10__12",1,284,8,1161568.79875,68.9957457195726,178,106,FALSE,"low_kish_effective_n"
"pc2001__10__14",1,1211,32,4763510.5175,332.967370128099,724,487,TRUE,
"pc2001__10__15",1,521,14,2874851.04124999,267.490561086271,521,0,TRUE,
"pc2001__10__16",1,1086,29,5517162.025,453.173973788972,938,148,TRUE,
"pc2001__10__17",1,913,22,4967922.31000001,388.158267914521,841,72,TRUE,
"pc2001__10__19",1,783,20,4468860.62125001,252.332471172912,721,62,TRUE,
"pc2001__10__20",1,585,14,2743024.54125001,192.302391921933,405,180,TRUE,
"pc2001__10__21",1,265,7,1194523.5725,48.4666719219559,191,74,FALSE,"low_kish_effective_n"
