academic_year,state_report,district_report,medium_slot,language_label,source_pdf,source_page
2005-06,ANDHRA PRADESH,NALGONDA,1,Telugu,District report card 2005-06 vol-1.pdf,40
2005-06,ANDHRA PRADESH,NALGONDA,2,English,District report card 2005-06 vol-1.pdf,40
2005-06,ANDHRA PRADESH,NALGONDA,3,Urdu,District report card 2005-06 vol-1.pdf,40
2005-06,ANDHRA PRADESH,NELLORE,1,Telugu,District report card 2005-06 vol-1.pdf,41
2005-06,ANDHRA PRADESH,NELLORE,2,English,District report card 2005-06 vol-1.pdf,41
2005-06,ANDHRA PRADESH,NELLORE,3,Urdu,District report card 2005-06 vol-1.pdf,41
2005-06,ANDHRA PRADESH,NIZAMABAD,1,Telugu,District report card 2005-06 vol-1.pdf,42
2005-06,ANDHRA PRADESH,NIZAMABAD,2,English,District report card 2005-06 vol-1.pdf,42
2005-06,ANDHRA PRADESH,NIZAMABAD,3,Urdu,District report card 2005-06 vol-1.pdf,42
2005-06,ANDHRA PRADESH,NIZAMABAD,4,Marathi,District report card 2005-06 vol-1.pdf,42
2005-06,ANDHRA PRADESH,NIZAMABAD,5,Hindi,District report card 2005-06 vol-1.pdf,42
2005-06,ANDHRA PRADESH,PRAKASAM,1,Telugu,District report card 2005-06 vol-1.pdf,43
2005-06,ANDHRA PRADESH,PRAKASAM,2,English,District report card 2005-06 vol-1.pdf,43
2005-06,ANDHRA PRADESH,PRAKASAM,3,Urdu,District report card 2005-06 vol-1.pdf,43
2005-06,ANDHRA PRADESH,RANGAREDDI,1,Telugu,District report card 2005-06 vol-1.pdf,44
2005-06,ANDHRA PRADESH,RANGAREDDI,2,English,District report card 2005-06 vol-1.pdf,44
2005-06,ANDHRA PRADESH,RANGAREDDI,3,Urdu,District report card 2005-06 vol-1.pdf,44
2005-06,ANDHRA PRADESH,RANGAREDDI,4,Hindi,District report card 2005-06 vol-1.pdf,44
2005-06,ANDHRA PRADESH,SRIKAKULAM,1,Telugu,District report card 2005-06 vol-1.pdf,45
2005-06,ANDHRA PRADESH,SRIKAKULAM,2,English,District report card 2005-06 vol-1.pdf,45
2005-06,ANDHRA PRADESH,SRIKAKULAM,3,Oriya,District report card 2005-06 vol-1.pdf,45
2005-06,ANDHRA PRADESH,VISAKHAPATNAM,1,Telugu,District report card 2005-06 vol-1.pdf,46
2005-06,ANDHRA PRADESH,VISAKHAPATNAM,2,English,District report card 2005-06 vol-1.pdf,46
2005-06,ANDHRA PRADESH,VISAKHAPATNAM,3,Urdu,District report card 2005-06 vol-1.pdf,46
2005-06,ANDHRA PRADESH,VISAKHAPATNAM,4,Hindi,District report card 2005-06 vol-1.pdf,46
2005-06,ANDHRA PRADESH,VISAKHAPATNAM,5,Oriya,District report card 2005-06 vol-1.pdf,46
2005-06,ANDHRA PRADESH,VIZIANAGARAM,1,Telugu,District report card 2005-06 vol-1.pdf,47
2005-06,ANDHRA PRADESH,VIZIANAGARAM,2,English,District report card 2005-06 vol-1.pdf,47
2005-06,ANDHRA PRADESH,VIZIANAGARAM,3,Urdu,District report card 2005-06 vol-1.pdf,47
