"comparison_id","comparison_family","left_round","right_round","district_2001","outcome_id","transform","estimate_left","estimate_right","absolute_change","proportional_change","finite_common","preferred_common","preferred_eligible_left","preferred_eligible_right","n_households_left","n_households_right","n_fsu_left","n_fsu_right","kish_effective_n_left","kish_effective_n_right"
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__05__07","bottom40_mean_real_mpce","identity",1228.09673058133,1987.25398831177,759.15725773044,0.618157543153043,TRUE,TRUE,TRUE,TRUE,193,200,12,12,140.30342687911,120.215523517961
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__05__09","bottom40_mean_real_mpce","identity",1330.42907779466,1821.89931688931,491.47023909465,0.36940731926073,TRUE,TRUE,TRUE,TRUE,179,154,10,9,135.042030440847,96.4196016860744
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__05__10","bottom40_mean_real_mpce","identity",1425.22124311702,1692.75192222581,267.53067910879,0.187711683642666,TRUE,FALSE,TRUE,FALSE,75,53,5,3,61.6074098760763,38.1934745410489
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__05__11","bottom40_mean_real_mpce","identity",1874.92810631519,1802.79494849242,-72.13315782277,-0.0384724926677503,TRUE,TRUE,TRUE,TRUE,210,288,13,16,109.788189032847,142.151808007161
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__05__12","bottom40_mean_real_mpce","identity",1502.0922126447,1615.89191602999,113.79970338529,0.0757607971250482,TRUE,TRUE,TRUE,TRUE,430,462,24,26,272.429700900811,293.652233591053
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__05__13","bottom40_mean_real_mpce","identity",1398.00643293117,1663.09802358134,265.09159065017,0.189621152239163,TRUE,TRUE,TRUE,TRUE,521,300,29,17,304.249326958808,207.449388877221
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__06__01","bottom40_mean_real_mpce","identity",2662.52896322105,2361.58699639999,-300.94196682106,-0.113028617144878,TRUE,TRUE,TRUE,TRUE,234,179,13,10,114.939080596829,84.9904974393383
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__06__02","bottom40_mean_real_mpce","identity",1414.40992359106,1786.88787237974,372.47794878868,0.263345118396081,TRUE,TRUE,TRUE,TRUE,107,177,6,10,90.1975893484452,126.271862939408
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__06__03","bottom40_mean_real_mpce","identity",1011.03049478002,1433.11674795957,422.08625317955,0.417481228665993,TRUE,TRUE,TRUE,TRUE,267,178,15,10,175.864446209592,51.050202658755
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__06__04","bottom40_mean_real_mpce","identity",1262.36176847132,1831.4578625672,569.09609409588,0.45081854370878,TRUE,TRUE,TRUE,TRUE,301,143,17,8,206.038312524135,83.6691501892645
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__06__05","bottom40_mean_real_mpce","identity",1356.42110666053,1670.06349258682,313.64238592629,0.231227886668963,TRUE,TRUE,TRUE,TRUE,88,126,5,7,73.6736954574174,104.825938580182
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__06__06","bottom40_mean_real_mpce","identity",1348.21575757599,1496.61123587888,148.39547830289,0.110068049174634,TRUE,TRUE,TRUE,TRUE,234,304,13,17,169.962319928764,201.604495273348
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__06__07","bottom40_mean_real_mpce","identity",1571.1665849527,1392.51952615322,-178.64705879948,-0.113703448450603,TRUE,TRUE,TRUE,TRUE,467,305,26,17,265.413490375238,127.366603407506
