"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","rooms_no_exclusive","rooms_one","rooms_two","overcrowding_gt2_ppr_lower_bound","water_tap","water_well","water_handpump_tubewell","water_surface","water_within_premises","water_away","bathroom_available","latrine_flush_or_water_closet","latrine_pit","drainage_closed","drainage_none","separate_kitchen_within_house","cooking_solid_fuel","cooking_clean_fuel","lighting_electricity","lighting_kerosene","lighting_solar","lighting_other_oil","lighting_other","lighting_none","latrine_available","banking","radio","television","telephone","bicycle","motorcycle","car","computer","computer_internet","households_owned","households_rented","structure_permanent","structure_semi_permanent","structure_temporary","structure_temporary_serviceable","structure_temporary_nonserviceable","structure_unclassifiable","census_year","no_exclusive_room_share_households","one_room_share_households","overcrowding_gt2_ppr_lower_bound_share_households","tap_water_share_households","well_water_share_households","handpump_tubewell_water_share_households","surface_water_share_households","water_within_premises_share_households","water_away_share_households","bathroom_share_households","flush_or_water_closet_latrine_share_households","pit_latrine_share_households","closed_drainage_share_households","no_drainage_share_households","separate_kitchen_within_house_share_households","solid_cooking_fuel_share_households","clean_cooking_fuel_share_households","electricity_share_households","kerosene_lighting_share_households","solar_lighting_share_households","no_lighting_share_households","latrine_share_households","banking_share_households","radio_share_households","television_share_households","telephone_share_households","bicycle_share_households","motorcycle_share_households","car_share_households","permanent_structure_share_households","semi_permanent_structure_share_households","temporary_structure_share_households","nonserviceable_temporary_structure_share_households","owned_share_households","rented_share_households","computer_share_households","internet_computer_share_households"
"pc2001__04__01",1,"Chandigarh",TRUE,235061,3345,92315,59808,99176,227354,168,6167,216,202495,5182,203593,204643,1178,205061,9514,172096,12191,168556,231204,2783,182,130,231,531,206017,188304,65936,193932,209783,135055,109701,60494,78113,44283,112043,110377,221401,9541,3223,2045,1178,896,2011,0.0142303487179924,0.392727845112545,0.421916013290167,0.967212766047962,0.00071470809704715,0.0262357430624391,0.000918910410489192,0.861457238759301,0.0220453414220139,0.866128366679287,0.870595292285832,0.0050114651090568,0.872373554098723,0.0404746002101582,0.732133361127537,0.0518631333994155,0.717073440511186,0.983591493271959,0.0118394799647751,0.000774267105134412,0.0022589880924526,0.876440583508111,0.801085675633133,0.280505911231553,0.825028396884213,0.892461956683584,0.574552988373231,0.466691624727198,0.257354473945061,0.941887424966285,0.0405894640114694,0.0137113345046605,0.0050114651090568,0.476654995937225,0.469567473974841,0.332309485622881,0.188389396794875
"pc2001__05__08",1,"Bageshwar",TRUE,57712,773,7974,19353,15189,45834,2293,1888,2136,14315,15919,25616,21143,10124,4320,37279,29887,43474,13431,47083,9062,1028,149,110,280,31604,47424,12012,25873,35364,975,2005,1149,3595,435,53896,3013,56015,1520,99,63,36,78,2011,0.0133940948156363,0.138168838369836,0.263186165788744,0.794184918214583,0.0397317715553091,0.0327141668976989,0.0370113667868034,0.248042001663432,0.27583518159135,0.443859162739118,0.366353617965068,0.175422789021347,0.0748544496811755,0.645948849459385,0.517864568893818,0.753292209592459,0.232724563349044,0.815826864430274,0.157021070141392,0.0178125866370945,0.00485167729415026,0.547615747158303,0.821735514277793,0.208136955919046,0.448312309398392,0.612766842251178,0.0168942334349875,0.0347414749098974,0.0199092043249238,0.970595370113668,0.0263376767396729,0.00171541447186027,0.000623787080676462,0.933878569448295,0.0522075131688384,0.0622920709731078,0.00753742722484059
"pc2001__05__09",1,"Almora",TRUE,139257,793,21597,51483,41417,112049,3850,5856,4082,36378,37135,70176,55431,21124,15609,88249,84096,97088,40295,109876,25175,3545,263,64,334,76958,118996,35647,70237,98610,2673,6719,3396,9858,1830,123666,12840,135616,3110,129,93,36,402,2011,0.00569450727791063,0.155087356470411,0.297414133580359,0.804620234530401,0.0276467251197426,0.0420517460522631,0.0293127095944908,0.261229238027532,0.266665230473154,0.503931579741054,0.398048213016222,0.151690758812842,0.112087722699757,0.633713206517446,0.603890648225942,0.697185778811837,0.289357087974034,0.789015992014764,0.180780858412863,0.0254565300128539,0.00239844316623222,0.552632901757183,0.854506416194518,0.255979950738563,0.504369618762432,0.70811521144359,0.0191947262974213,0.0482489210596236,0.0243865658458821,0.973854097101043,0.0223328091227012,0.000926344815700468,0.000258514832288503,0.888041534716388,0.0922036235162326,0.0707899782416683,0.0131411706413322
"pc2001__05__13",1,"Hardwar",TRUE,325344,4624,118581,102901,182834,131667,616,188321,772,246771,23596,201183,165522,46682,59951,38511,170501,195150,126240,279012,42517,438,626,1494,1257,216744,237128,37296,207894,250344,210338,114469,21893,35023,11947,278141,36245,291878,17458,14922,10337,4585,1086,2011,0.0142126487656142,0.364478828562998,0.561971328808892,0.404700870463263,0.00189338054490017,0.578836554539195,0.0023728730205567,0.758492549424609,0.0725263106127668,0.618370094423134,0.508759958689879,0.143485049670503,0.18426957312875,0.118370094423134,0.524063760204583,0.599826645028032,0.388020064915904,0.857590734730009,0.130683215304416,0.0013462673354972,0.00386360283269401,0.666199468869873,0.72885315235566,0.114635585718501,0.638997491885512,0.769474771318973,0.646509540670798,0.351839898691846,0.0672918510868496,0.89713656929281,0.0536601258975116,0.0458652994983771,0.0140927756467001,0.854913568407593,0.111405158847251,0.107649134454608,0.0367211320940297
"pc2001__06__01",1,"Panchkula",TRUE,110236,1450,25829,27431,35893,99720,3179,5218,762,82195,5755,86057,71119,6460,49154,11671,87016,34089,69887,103455,4943,698,227,418,495,77967,87819,27618,88378,92486,42737,49972,29497,32174,18615,78722,24115,95374,11073,3588,2204,1384,201,2011,0.0131535977357669,0.234306397184223,0.32560143691716,0.90460466635219,0.0288381291048296,0.0473348089553322,0.00691244239631336,0.745627562683697,0.0522061758409231,0.780661489894408,0.645152218875866,0.0586015457745201,0.445897891795784,0.105872854602852,0.789361007293443,0.309236547044523,0.633976196523822,0.938486519830182,0.0448401611088936,0.00633186980659676,0.00449036612358939,0.707273485975543,0.796645379005044,0.250535215356145,0.80171631771835,0.838981820820785,0.387686418229979,0.453318335208099,0.267580463732356,0.865180158931746,0.100448129467688,0.0325483508109873,0.0125548822526216,0.714122428244856,0.218757937515875,0.291864726586596,0.168864980587104
"pc2001__06__02",1,"Ambala",TRUE,208071,2475,46119,66409,81102,173860,944,32215,138,175374,4947,156840,131233,8236,34887,15292,165020,80103,122740,199681,7003,236,214,245,692,142922,152316,32571,172034,170149,133676,92424,26122,32767,12899,183898,18611,164549,35150,7261,5439,1822,1111,2011,0.0118949781564947,0.221650302060354,0.389780411494153,0.835580162540671,0.00453691288069938,0.154826958105647,0.00066323514569546,0.8428565249362,0.0237755381576481,0.753781161238231,0.63071259329748,0.0395826424633899,0.16766872846288,0.0734941438259056,0.793094664801919,0.384979165765532,0.589894795526527,0.959677225562428,0.0336567806181544,0.00113422822017484,0.0033257878320381,0.686890532558598,0.732038582983693,0.15653791253947,0.826804311989657,0.8177449043836,0.642453777797002,0.444194529751864,0.125543684607658,0.790831014413349,0.168932720081126,0.0348967419774981,0.00875662634389223,0.883823310312345,0.0894454296850594,0.157479898688428,0.0619932619154039
"pc2001__06__03",1,"Yamunanagar",TRUE,228163,2881,66640,79142,110390,176944,648,48584,447,189997,7928,149607,111635,32479,39200,25916,168131,111602,110376,217503,9044,160,238,587,631,148667,161553,27474,168506,175426,148002,87959,20791,25129,8079,201041,22109,182454,33840,11295,8140,3155,574,2011,0.0126269377594088,0.29207189596911,0.483820777251351,0.775515749705255,0.00284007485876325,0.212935489102089,0.00195912571275798,0.832724850216731,0.0347470887041282,0.655702283016966,0.489277402558697,0.142349986632364,0.171806997628888,0.113585463024241,0.73688985505976,0.489132769116816,0.483759417609341,0.953279015440716,0.0396383287386649,0.000701253051546482,0.00276556672203644,0.65158242133913,0.708059588978055,0.120413914613675,0.738533416899322,0.768862611378707,0.64866783834364,0.385509482256106,0.0911234512168932,0.799665151667887,0.148315020402081,0.0495040826076095,0.0138278336101822,0.881128842099727,0.0969000232290073,0.110136174576947,0.0354088962715252
"pc2001__06__04",1,"Kurukshetra",TRUE,179391,3420,45041,59181,76970,152471,307,25561,76,144159,6569,130306,103402,31566,35250,16772,127023,84126,91465,171908,6361,65,182,595,280,136321,127686,30979,143316,145855,107683,73765,20261,21951,7356,162147,13063,134302,39096,4976,3759,1217,1017,2011,0.0190645015636236,0.251077255826658,0.429062773494768,0.849936730382238,0.00171134560819662,0.14248763873327,0.000423655590302747,0.803602187400706,0.0366183364828782,0.726379807236706,0.576405728269534,0.175962004782849,0.196498152081208,0.0934940994810219,0.70807900061876,0.468953291971169,0.509863928513694,0.958286647602165,0.0354588580252075,0.000362337018022086,0.00156083638532591,0.759909917442904,0.711774838202585,0.172689822789326,0.798902954997742,0.813056396363251,0.600269801718035,0.411196771298449,0.112943235725315,0.748655172221572,0.217937354716792,0.0277382923335061,0.00678406386050582,0.903874776326572,0.0728185917911155,0.122363998193889,0.0410054016087764
"pc2001__06__05",1,"Kaithal",TRUE,200221,3839,50616,73982,94193,116339,2038,77712,1251,114419,25152,126630,66896,56765,24634,15115,112468,133893,63988,187349,10675,108,432,692,965,126896,124944,36696,140195,153352,95704,59238,12792,15301,3724,189832,7550,91487,97966,9925,8539,1386,843,2011,0.0191738129367049,0.25280065527592,0.470445158100299,0.581052936505162,0.0101787524785112,0.388131115117795,0.00624809585408124,0.57146353279626,0.125621188586612,0.632451141488655,0.334110807557649,0.283511719549897,0.123034047377648,0.0754915818021087,0.561719300173309,0.668726057706235,0.319586856523541,0.935711039301572,0.0533160857252736,0.000539403958625719,0.00481967425994276,0.633779673460826,0.624030446356776,0.183277478386383,0.700201277588265,0.765913665399733,0.477991819039961,0.295863071306207,0.0638894022105573,0.456930092248066,0.489289335284511,0.0495702249014839,0.00692235080236339,0.948112335868865,0.0377083322928164,0.0764205552864085,0.0185994476103905
"pc2001__06__06",1,"Karnal",TRUE,284551,4282,78538,100749,134600,229500,427,51117,361,225116,14402,198303,156218,57562,58207,25703,183808,136379,144281,267223,13405,316,681,1751,1175,215989,186773,39322,215813,215865,143754,108101,26238,29253,11163,258981,19328,211477,63541,8516,6641,1875,1017,2011,0.0150482690273448,0.276006761529568,0.473025925053857,0.806533802376375,0.00150060973252598,0.179640907956746,0.00126866537105826,0.791127073881308,0.0506130711190613,0.696897919880795,0.548998246360055,0.202290626284919,0.20455735527199,0.090328271557647,0.645958018070574,0.479277879887964,0.507047945710962,0.939104062189203,0.0471093055374959,0.00111052148823937,0.00412931249582676,0.759051980137128,0.656377942794086,0.138189639115659,0.758433461839881,0.75861620588225,0.505195905127727,0.379900263924569,0.0922084266089383,0.743195420153154,0.22330267684879,0.0299278512463495,0.00658932845078738,0.910139131473796,0.0679245548249699,0.102804066757804,0.0392302258646077
"pc2001__06__07",1,"Panipat",TRUE,220388,2948,64958,73154,104335,145881,1251,69876,675,148894,17950,166197,147611,22142,42492,15021,137010,93483,122338,209965,7896,280,254,1183,810,176766,139754,26625,162321,172677,90548,74923,17466,26719,10024,182191,32473,167977,46763,5171,3907,1264,477,2011,0.0133764088788863,0.294743815452747,0.473415067971033,0.661928054159029,0.00567635261447992,0.317059005027497,0.00306278018766902,0.675599397426357,0.0814472657313465,0.754110931629671,0.669777846343721,0.100468265059804,0.192805415902862,0.0681570684429279,0.621676316314863,0.424174637457575,0.555102818665263,0.95270613645026,0.0358277220175327,0.00127048659636641,0.00367533622520282,0.802067263190373,0.634127084959254,0.120809662958056,0.736523767174256,0.783513621431294,0.410857215456377,0.339959525927001,0.0792511389004846,0.762187596420858,0.21218487394958,0.0234631649636096,0.00573533949216836,0.826682940994973,0.147344683013594,0.121236183458265,0.0454834201499174
"pc2001__06__08",1,"Sonipat",TRUE,269658,3944,60913,90181,111780,164405,7399,91587,1477,171176,32654,194818,158889,23186,57458,10574,163932,139639,126499,253054,13984,213,464,899,1044,183719,191265,44589,192317,207285,119029,84519,22367,30697,9029,239850,25832,211521,53395,3933,3206,727,809,2011,0.0146259335899547,0.225889830822746,0.414525065082438,0.609679668320613,0.0274384590852116,0.339641323454153,0.0054773082942097,0.634789251570508,0.121094126634478,0.72246326828798,0.589224128340342,0.0859829858561585,0.213077305327489,0.0392126322972061,0.607925594642102,0.517837408866045,0.469109019572941,0.938425709602534,0.0518582797469387,0.000789889415481833,0.00387157065616448,0.681303725459656,0.709287319493581,0.165353892708542,0.713188557357838,0.768695903700243,0.441407264015902,0.313430345103798,0.0829458054276157,0.7844046903856,0.198010072017148,0.0145851411788265,0.00269600753547086,0.889459982644683,0.0957954149329892,0.113836785854675,0.0334831527342041
"pc2001__06__09",1,"Jind",TRUE,244582,4624,49382,85958,101546,129177,19589,89084,1712,119784,50863,155643,96300,49237,33378,16562,129708,164040,79008,222462,19055,205,570,1359,931,146428,154031,40480,160742,193577,113068,61694,15836,23750,5263,227870,12316,105981,131376,6504,4621,1883,721,2011,0.018905724869369,0.201903656033559,0.415181820411968,0.528154156888078,0.0800917483706896,0.364229583534357,0.00699969744298436,0.489749858943013,0.207958884954739,0.636363264671971,0.39373298116787,0.201310807827232,0.136469568488278,0.0677155309875625,0.530325207905733,0.670695308730814,0.323032766107072,0.909559983972655,0.0779084315280765,0.000838164705497543,0.00380649434545469,0.598686739007777,0.629772428060937,0.165506864773368,0.657211078493103,0.791460532663892,0.46229076546925,0.252242601663246,0.0647472013476053,0.433314798308952,0.537145006582659,0.0265923085100294,0.00769884946561889,0.931671177764512,0.0503553000629646,0.09710444758813,0.0215183455855296
"pc2001__06__10",1,"Fatehabad",TRUE,176094,1972,40769,56708,72239,128708,1221,41039,3743,122912,13305,110441,53622,80729,24893,39979,103097,122841,52409,153301,18463,413,722,1494,1701,134586,112594,29817,107042,136196,86268,52633,14030,13142,3210,162708,8832,120063,45253,10196,8654,1542,582,2011,0.0111985644031029,0.231518393585244,0.41022976364896,0.730905084784263,0.00693379672220519,0.233051665587697,0.0212556929821573,0.697990845798267,0.0755562370097789,0.62717071564051,0.304507819687213,0.458442649948323,0.141361999840994,0.22703215328177,0.585465717173782,0.697587652049474,0.297619453246561,0.870563449066976,0.10484741104183,0.00234533828523402,0.00965961361545538,0.764284984156189,0.639397140163776,0.169324338137586,0.607868524765182,0.773427828318966,0.489897441139391,0.298891501130078,0.0796733562756255,0.681811986779788,0.256982066396357,0.0579008938407896,0.00875668676956625,0.923983781389485,0.0501550308358036,0.0746305950231127,0.0182289004736107
"pc2001__06__11",1,"Sirsa",TRUE,240217,3048,53358,71182,92012,204475,2099,26345,5269,196564,10272,155338,76906,138230,53905,72043,138702,167807,70969,215527,20796,448,856,1030,1560,215371,148229,45101,150315,190983,117760,75692,24468,22706,6287,219428,12951,184714,29361,25525,22086,3439,617,2011,0.0126885274564248,0.222124162736193,0.383037004042179,0.851209531382042,0.00873793278577286,0.109671671863357,0.0219343343726714,0.818276808052719,0.0427613366248017,0.646656980979697,0.320152195723034,0.575438041437534,0.224401270517907,0.299907999850135,0.577402931516088,0.698564214855735,0.295437042340883,0.897217932119708,0.0865717247322213,0.00186498041354276,0.00649412822572924,0.896568519297136,0.617062905622833,0.187751075069625,0.625746720673391,0.795043648034902,0.490223422988381,0.31509843183455,0.101857903478938,0.76894641095343,0.1222269864331,0.10625809164214,0.0143162224155659,0.91345741558674,0.0539137529816791,0.0945228689060308,0.0261721693302306
"pc2001__06__14",1,"Rohtak",TRUE,202933,2396,39880,71467,79239,154010,9355,35577,1526,136781,28372,156771,128606,18679,60346,9483,138461,106468,94926,193120,8089,171,273,592,688,147990,151930,39834,150160,160621,91682,63575,16545,27225,8482,185204,15541,149968,49356,2980,2458,522,629,2011,0.0118068525079706,0.196518062611798,0.390468775408632,0.758920431866675,0.0460989587696432,0.175314019898193,0.00751972325841534,0.674020489521172,0.139809690883198,0.772525907565551,0.633736257779661,0.0920451577614286,0.297369082406509,0.0467297088201525,0.682299083934106,0.524646065450173,0.467770150739407,0.951644138705878,0.0398604465513248,0.000842642645602243,0.00339028152148739,0.72925546855366,0.748670743545899,0.196291386812396,0.739948653003701,0.791497686428526,0.451784579146812,0.313280737977559,0.0815293717630942,0.739002527927937,0.243213277288563,0.0146846496134192,0.00257227754973316,0.912636190269695,0.076581926054412,0.134157579102462,0.0417970463157791
"pc2001__06__15",1,"Jhajjar",TRUE,183400,3208,33437,61293,67442,133448,6709,36644,1843,114081,32772,133344,102304,20655,22941,12243,125774,111769,70442,168558,12717,170,702,684,569,123545,136104,40791,128007,145032,69952,52868,14298,19241,5034,168223,12154,160074,20071,2368,1789,579,887,2011,0.0174918211559433,0.1823173391494,0.36773173391494,0.72763358778626,0.0365812431842966,0.199803707742639,0.0100490730643402,0.622033805888768,0.178691384950927,0.727066521264994,0.557818974918212,0.112622682660851,0.125087241003272,0.0667557251908397,0.685790621592148,0.60942748091603,0.384089422028353,0.91907306434024,0.069340239912759,0.000926935659760087,0.00310250817884406,0.673636859323882,0.742115594329335,0.222415485278081,0.697966194111232,0.790796074154853,0.381417666303162,0.288266085059978,0.0779607415485278,0.872813522355507,0.109438386041439,0.0129116684841876,0.00315703380588877,0.917246455834242,0.0662704471101418,0.104912758996728,0.0274482006543075
"pc2001__06__16",1,"Mahendragarh",TRUE,168525,2762,36000,50777,66376,108389,7095,40151,5758,80378,32687,83769,51353,22949,9909,48880,100071,122195,45697,135455,31034,207,494,553,782,74605,117225,25809,88012,133653,54810,45775,8538,13908,2624,162961,3691,159434,6153,1839,1486,353,1099,2011,0.0163892597537457,0.213618157543391,0.393864411808337,0.643162735499184,0.0421005785491767,0.238249517875686,0.0341670375315235,0.476950007417297,0.19395935321169,0.497071651090343,0.304720367897938,0.136175641596202,0.0587983978638184,0.290045987242249,0.593805073431242,0.725085298917075,0.271158581812787,0.803767986945557,0.184150719477822,0.0012283044058745,0.00464026108885922,0.44269396232013,0.695594125500668,0.153146417445483,0.522248924491915,0.793075211392968,0.325233644859813,0.271621421154131,0.0506631063640409,0.946055481382584,0.0365109034267913,0.0109123275478416,0.00209464471146714,0.966984126984127,0.0219017949859071,0.0825278148642635,0.0155703901498294
"pc2001__06__17",1,"Rewari",TRUE,169128,2166,35909,52390,62474,122608,3165,37962,1920,114709,18637,109357,72715,27384,20986,27154,115751,105508,62801,152651,14409,330,450,420,868,100436,134978,28534,108753,137152,71366,58897,12161,18092,5121,156650,9969,161377,5102,1419,998,421,1230,2011,0.0128068681708528,0.212318480677357,0.369388865238163,0.724942055721111,0.0187136370086562,0.224457215836526,0.0113523485170995,0.678237784399981,0.110194645475616,0.646593112908566,0.429940636677546,0.161912870725131,0.124083534364505,0.160552953975687,0.684398798543115,0.623835201740693,0.371322312094981,0.902576746606121,0.08519582801192,0.00195118490137647,0.00513220755877205,0.593846081074689,0.798081926115132,0.168712454472352,0.643021853270895,0.810936095738139,0.42196442930798,0.348239203443546,0.0719041199564827,0.95417080554373,0.0301665011115841,0.00839009507591883,0.00248923891963483,0.926221560001892,0.0589435220661274,0.106972234047585,0.0302788420604513
"pc2001__08__02",1,"Hanumangarh",TRUE,328871,2412,66165,89422,115101,246593,4654,27588,34894,192913,35887,190602,54002,223672,9152,210518,184403,271389,55736,243163,80888,957,791,983,2089,278373,227879,56817,140280,249474,93418,56973,16537,16217,3360,306363,11944,181884,36839,106659,103824,2835,3489,2011,0.00733418270385653,0.201188307877557,0.349988293282168,0.7498167974677,0.014151445399564,0.0838869952048067,0.106102392731497,0.586591703129799,0.109121813720273,0.579564631724901,0.164204201647454,0.680120776839551,0.0278285406740029,0.640123331032532,0.560715295663041,0.825214141715141,0.169476785730575,0.73938717612681,0.245956621289199,0.00290995557528636,0.00635203468837325,0.846450431932277,0.692913026688276,0.172763788841217,0.426550227900909,0.758577071252862,0.284056666595717,0.173238138966342,0.0502841539691855,0.553055757424644,0.112016565765908,0.324318653818671,0.00862040131236868,0.93155979092106,0.0363181916313691,0.0493111280714931,0.0102167719257703
"pc2001__08__05",1,"Jhunjhunun",TRUE,383664,3345,68228,101841,138624,231401,24336,104352,10067,191632,49410,241460,186167,19009,18936,215089,269808,249875,132234,297559,83112,422,889,483,1199,205571,257310,68472,189511,314807,74695,59920,15861,24178,4828,371091,9196,361609,11295,6998,4907,2091,3762,2011,0.00871856624546478,0.177832686934401,0.361316151632679,0.603134513532674,0.0634305016889779,0.271987989490804,0.0262391050502523,0.499478710538388,0.128784561491305,0.629352767004462,0.485234475999833,0.0495459568789357,0.0493556862254473,0.56061814504358,0.703240335293382,0.651286021101797,0.344660953334167,0.775571854539389,0.216627048667584,0.00109992076400183,0.0031251303223654,0.535809979565453,0.670664956837233,0.178468660077568,0.49395043579799,0.820527857708829,0.194688581675633,0.156178322699028,0.041340860753159,0.94251480462071,0.0294398223445515,0.0182399182618124,0.00545008132115601,0.967229137995746,0.023968889444931,0.0630186830143042,0.0125839276033196
"pc2001__08__17",1,"Barmer",TRUE,447776,17061,116999,157181,227687,95785,64487,66514,105370,56954,177723,93981,52825,6260,10268,381918,277632,404094,40246,126494,274975,18628,1821,2426,23432,66597,304821,69144,52926,299183,47366,39804,27009,37730,2766,436661,8087,191642,50315,197179,118943,78236,8640,2011,0.0381016401057672,0.26128912670621,0.508484152790681,0.213912759951404,0.144016204530837,0.148543021510755,0.235318552133209,0.127193060816122,0.396901575787894,0.209883959837061,0.117971932394769,0.0139802043879082,0.0229311084113485,0.852921996712642,0.620024297863217,0.902446759093833,0.089879761309226,0.282493925534196,0.61409052740656,0.041601157721718,0.0523297362967198,0.148728382048167,0.680744390052169,0.154416493961266,0.118197491602944,0.668153273065104,0.105780568855857,0.0888926606160223,0.0603181054813121,0.427986314585864,0.112366451082684,0.440351872364754,0.174721289216037,0.975177320803259,0.0180603694704495,0.0842608804402201,0.00617719574072751
"pc2001__08__18",1,"Jalor",TRUE,329516,19042,156653,109444,232890,136516,44810,65366,37743,116788,92297,70322,34219,13057,9642,259289,110189,287141,40030,161845,149702,4364,1768,1721,10116,51153,220114,41923,54245,237522,37596,34799,12367,12794,1585,315704,9562,183005,99703,42054,24986,17068,4754,2011,0.0577877857220894,0.475403318806978,0.706763859721531,0.414292477451778,0.135987326867284,0.198369730149674,0.11454072032921,0.35442285048374,0.280098690200172,0.213409970987752,0.1038462472232,0.0396247830150888,0.0292610980953884,0.786878330642518,0.334396508818995,0.871402299129633,0.121481202733706,0.491159761589726,0.454308743733233,0.0132436664683961,0.0306995714927348,0.155236771507302,0.66799184258124,0.127225992061084,0.164620230884085,0.720820840262688,0.114094611490793,0.105606404544848,0.0375308027531288,0.555375156289831,0.302574078345209,0.127623544835456,0.0517971813204822,0.958083977712767,0.0290183177751611,0.0388266427123417,0.00481008509450224
"pc2001__08__19",1,"Sirohi",TRUE,202260,13385,99787,53708,124087,81766,31576,80219,4550,75510,50616,60933,41168,12668,13188,118165,70412,150767,47287,134089,65867,376,648,252,1028,54218,141896,22809,65197,125006,52893,38817,6343,10297,2146,184197,13430,129682,53391,16899,9766,7133,2288,2011,0.06617719766637,0.49336003164244,0.613502422624345,0.404261841194502,0.15611589043805,0.396613270048452,0.0224957974883813,0.373331355680807,0.250252150697123,0.301260753485613,0.203539998022347,0.0626322555127064,0.0652032037970929,0.584223276970236,0.348126174231188,0.745411846138633,0.233793137545733,0.662953624048255,0.325655097399387,0.00185899337486404,0.00508256699297933,0.268060911697815,0.701552457233264,0.112770691189558,0.322342529417581,0.618046079303866,0.261509937703945,0.191916345298131,0.0313606249381984,0.64116483733808,0.263972115099377,0.083550875111243,0.0352664886779393,0.910694156036784,0.0663996835755958,0.0509097201621675,0.0106101058044102
"pc2001__08__20",1,"Pali",TRUE,428992,14660,182037,151155,254107,197827,61467,96554,54486,150135,106055,173870,89748,20836,27708,204641,218141,328489,95209,326793,95069,977,1659,1048,3446,124303,314877,75807,154761,316935,175945,109098,14175,19270,4043,396294,26351,330162,67691,27803,22189,5614,3336,2011,0.0341731314336864,0.42433658436521,0.592335055199165,0.461143797553334,0.143282392212442,0.225071796210652,0.127009361479934,0.349971561241235,0.247219062360137,0.405298933313442,0.209206698493212,0.048569670296882,0.0645886170371475,0.477027543637177,0.508496661942414,0.765722903923616,0.22193653960913,0.761769450246158,0.221610193197076,0.00227743174697896,0.00803278382813665,0.289755986125615,0.733992708488736,0.176709588990004,0.36075497911383,0.738790000745935,0.410135853349247,0.254312434730718,0.0330425742204983,0.769622743547665,0.157790821274056,0.0648100663881844,0.0130864911233776,0.923779464418917,0.0614253878860212,0.0449192525734746,0.00942441817096822
