"district_order","district_code","state","district","emi_exposure_all_children_0708","ling_distance_nonzero_mean","region","state_prefix"
255,"16103","Tripura","Dhalai",0.565415549227176,3.95336109748418,"North Eastern","16"
256,"16104","Tripura","North Tripura",2.50987664188552,3.4470575960684,"North Eastern","16"
257,"17101","Meghalaya","West Garo Hills",47.6107717430896,4.45500315159155,"North Eastern","17"
258,"17102","Meghalaya","East Garo Hills",43.0180356399096,4.93438659234113,"North Eastern","17"
259,"17103","Meghalaya","South Garo Hills",37.1856840524032,4.9219469700004,"North Eastern","17"
260,"17104","Meghalaya","West Khasi Hills",47.6788372414579,4.96513720121137,"North Eastern","17"
261,"17105","Meghalaya","Ri - bhoi",46.3015156768091,4.2384776239509,"North Eastern","17"
262,"17106","Meghalaya","East Khasi Hills",60.9666477432763,4.73867054942493,"North Eastern","17"
263,"17107","Meghalaya","Jaintia Hills",43.0198598541142,4.9710487607055,"North Eastern","17"
264,"18112","Assam","Lakhimpur",2.52919527512629,3.4403119689245,"North Eastern","18"
265,"18113","Assam","Dhemaji",0.954685733772398,3.87748474222644,"North Eastern","18"
266,"18114","Assam","Tinsukia",0.530932089239673,3.12191596046927,"North Eastern","18"
267,"18115","Assam","Dibrugarh",4.36384833056308,3.03897795842223,"North Eastern","18"
268,"18116","Assam","Sibsagar",11.5470549777325,3.06291026747732,"North Eastern","18"
269,"18117","Assam","Jorhat",7.24480748838043,3.1741342893902,"North Eastern","18"
270,"18118","Assam","Golaghat",4.09086656926177,3.1359041228018,"North Eastern","18"
271,"18201","Assam","Kokrajhar",1.3891134716262,4.11095383777698,"North Eastern","18"
272,"18203","Assam","Goalpara",0.117097954959153,3.39353776319522,"North Eastern","18"
273,"18204","Assam","Bongaigaon",1.89369023315538,3.29492864963336,"North Eastern","18"
274,"18205","Assam","Barpeta",1.40842642098527,3.14378269979818,"North Eastern","18"
275,"18206","Assam","Kamrup",7.87095368045957,3.15397368551592,"North Eastern","18"
276,"18207","Assam","Nalbari",0.0319340049932595,3.34654210874915,"North Eastern","18"
277,"18319","Assam","Karbi Anglong",7.04023427080402,4.35011048696105,"North Eastern","18"
278,"18320","Assam","North Cachar Hills",5.41745727403004,4.53906146640912,"North Eastern","18"
279,"18321","Assam","Cachar",14.3584376516609,3.21925271412969,"North Eastern","18"
280,"18322","Assam","Karimgang",6.06445705496597,3.04531093396345,"North Eastern","18"
281,"18323","Assam","Hailakandi",0.66076084092237,3.1100470938361,"North Eastern","18"
282,"18408","Assam","Darrang",0.889802624640915,3.38454261074272,"North Eastern","18"
283,"18409","Assam","Marigaon",0.304921168335541,3.03700980979701,"North Eastern","18"
284,"18410","Assam","Nagaon",2.72898184325349,3.06076637782083,"North Eastern","18"
285,"18411","Assam","Sonitpur",7.74211470330357,3.39119003106507,"North Eastern","18"
286,"19101","West Bengal","Darjiling",14.4049194554006,3.30011422044546,"Eastern","19"
287,"19102","West Bengal","Jalpaiguri",0.478795140709456,3.14660034844027,"Eastern","19"
288,"19103","West Bengal","Kochbihar",1.40101092039905,3.014491849617,"Eastern","19"
289,"19204","West Bengal","Uttar Dinajpur",0.818278503242356,3.12722346676805,"Eastern","19"
290,"19205","West Bengal","West Dinajpur",1.36003450859404,3.27943594995374,"Eastern","19"
291,"19206","West Bengal","Maldah",3.28998567580904,3.1080904141898,"Eastern","19"
292,"19207","West Bengal","Murshidabad",0.385201822186071,3.02131073498621,"Eastern","19"
293,"19208","West Bengal","Birbhum",0.785631828746373,3.12810025357007,"Eastern","19"
294,"19210","West Bengal","Nadia",1.05487317471529,3.0113361122466,"Eastern","19"
295,"19311","West Bengal","24-Parganas ( North )",4.86413850485888,3.00568305269302,"Eastern","19"
296,"19317","West Bengal","Kolkata",21.3705484965531,2.97257401929505,"Eastern","19"
297,"19318","West Bengal","24-Parganas ( South )",1.18467327168366,3.00253411150857,"Eastern","19"
298,"19409","West Bengal","Barddhaman",3.73997859795257,3.11731440600256,"Eastern","19"
299,"19412","West Bengal","Hugli",2.53535950031009,3.06547052344015,"Eastern","19"
300,"19416","West Bengal","Howrah",3.58266992729822,3.00521230795813,"Eastern","19"
301,"19513","West Bengal","Bankura",0.542916126237885,3.16917066370456,"Eastern","19"
302,"19514","West Bengal","Puruliya",0.293822051743582,3.26540820090166,"Eastern","19"
303,"19515","West Bengal","Medinipur",1.14037146974844,3.12446662000284,"Eastern","19"
304,"20101","Jharkhand","Garhwa",0.0592109519657652,3.10347842206563,"Eastern","20"
305,"20102","Jharkhand","Palamu",1.05864078545518,3.45723900688005,"Eastern","20"
306,"20114","Jharkhand","Ranchi",8.92499444039535,3.87130868166109,"Eastern","20"
307,"20115","Jharkhand","Lohardanga",3.01632149818306,4.19809494101849,"Eastern","20"
308,"20116","Jharkhand","Gumla",0.524396546970208,3.91166600320872,"Eastern","20"
309,"20117","Jharkhand","Singhbhum(W)",3.8703946322368,4.18520954850482,"Eastern","20"
310,"20118","Jharkhand","Singhbhum(E)",8.18512988729579,3.5839383575974,"Eastern","20"
311,"20203","Jharkhand","Chatra",0.589149646523624,3.07581499562885,"Eastern","20"
312,"20204","Jharkhand","Hazaribagh",7.80219448956533,3.12917214938356,"Eastern","20"
