"specification_id","term","estimate","std.error","statistic","p.value"
"region_expanded__nonzero_mean_hindi_urdu","ling_distance_nonzero_mean",5.07860437872043,2.11295873679258,2.40355113911483,0.0165654474730268
"region_expanded__nonzero_mean_shastry","ling_distance_nonzero_mean",5.0420367575262,2.12430128555317,2.37350360413365,0.0179621628034128
"region_expanded__nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_low",5.10591092718397,2.12828188465497,2.39907644001383,0.0167677047011764
"region_expanded__nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high",1.02163220795977,1.49984183769636,0.681159961192252,0.49605644307602
"region_expanded__nonzero_mean_hindi_urdu_separate","ling_distance_nonzero_mean",4.89538018318392,2.19278204308261,2.23249738779418,0.0259831294988504
"region_expanded__distance_shares_all","ling_share_distance_1",0.0414376251453298,0.0328656997079646,1.26081676378513,0.20791042378529
"region_expanded__distance_shares_all","ling_share_distance_2",0.146031329150445,0.0474044026549324,3.08054359873366,0.00216972241774988
"region_expanded__distance_shares_all","ling_share_distance_3",-0.215712066171205,0.101335151596602,-2.12869929903414,0.0337237079235492
"region_expanded__distance_shares_all","ling_share_distance_4",0.623525979219577,0.0736546662728138,8.46553261011411,2.33417702111662e-16
"region_expanded__distance_shares_all","ling_share_distance_5",0.0379835456065299,0.0813819732953942,0.466731686004468,0.640877014895917
"region_expanded__distance_shares_all_unmapped","ling_share_distance_1",0.0504565343767175,0.0329338487303335,1.53205702709884,0.126086482504772
"region_expanded__distance_shares_all_unmapped","ling_share_distance_2",0.154493573236287,0.0438293078694658,3.52489192155182,0.000459153380554529
"region_expanded__distance_shares_all_unmapped","ling_share_distance_3",-0.191722133259735,0.0962591506911134,-1.99172890975273,0.0468975796639007
"region_expanded__distance_shares_all_unmapped","ling_share_distance_4",0.629145247994695,0.0790570899694112,7.95811290597875,1.01255092189924e-14
"region_expanded__distance_shares_all_unmapped","ling_share_distance_5",0.0688517628822392,0.0859473910626262,0.801091947422463,0.423426242374343
"region_expanded__distance_shares_mapped","ling_mapped_share_distance_1",0.0531733098216255,0.0334256280742524,1.59079463528719,0.112231431126257
"region_expanded__distance_shares_mapped","ling_mapped_share_distance_2",0.155129293979362,0.0449017919048238,3.45485753237158,0.000593132494445164
"region_expanded__distance_shares_mapped","ling_mapped_share_distance_3",-0.112965375381313,0.0694529143783432,-1.62650302571807,0.104416499396321
"region_expanded__distance_shares_mapped","ling_mapped_share_distance_4",0.526866523506664,0.0740619351167517,7.11386385835191,3.5383931419294e-12
"region_expanded__distance_shares_mapped","ling_mapped_share_distance_5",0.196403765419237,0.0943606390019151,2.08141622923146,0.0378586048295814
"region_expanded__glottolog_mean","ling_distance_glottolog_nonhindi_mean",-0.00335845371211937,0.378799059298727,-0.00886605610461889,0.992929200848897
"region_expanded__glottolog_mean_shastry","ling_distance_glottolog_nonhindi_mean",0.0246372169923974,0.388213251394378,0.0634631015399547,0.949420756268687
"region_expanded__dyen_noncognate","ling_distance_dyen_noncognate_pct",0.0200788408415063,0.0754417853832196,0.266150128069112,0.790222791791414
"region_expanded__dyen_noncognate_shastry","ling_distance_dyen_noncognate_pct",0.0136598167040119,0.072513422288356,0.18837638981777,0.850650963853902
"state_main__nonzero_mean","ling_distance_nonzero_mean",0.839457291252968,0.966217383858436,0.868807894865986,0.385347702294227
"state_main__distant_share","ling_share_distance_ge3",0.025700783586483,0.0333998649482436,0.76948764991442,0.441948620710908
"state_main__top3_legacy","ling_distance_top3_legacy",1.2518876979917,0.895164242442626,1.39850056407044,0.162550984868169
"state_main__nonzero_mean_hindi_urdu","ling_distance_nonzero_mean",0.865121301723669,0.935403518104638,0.924864280472904,0.355460607057053
"state_main__nonzero_mean_shastry","ling_distance_nonzero_mean",0.847143248604884,0.930152941558582,0.910756941955583,0.362841417653566
"state_main__nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_low",0.800507979103332,0.903117429131675,0.886383047521296,0.37581698500544
"state_main__nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high",0.430685207037251,0.385228478517266,1.11799939790263,0.264078570871727
"state_main__nonzero_mean_hindi_urdu_separate","ling_distance_nonzero_mean",0.86879709695795,0.966486056341404,0.898923570865314,0.369105466798079
