"mother_tongue_code","mother_tongue","canonical_language","language_glottocode","glottolog_name","family_id","iso639P3code","glottolog_level","match_basis","review_status","notes","glottolog_edge_distance_from_hindi"
"006127","Jaunsari","Hindi","jaun1243","Jaunsari","indo1319","jns","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",10
"006138","Kangri","Hindi","kang1280","Kangri","indo1319","xnr","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",12
"006145","Khairari","Hindi","mewa1249","Mewari","indo1319","mtr","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",10
"006148","Khari Boli","Hindi","hind1269","Hindi","indo1319","hin","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",0
"006153","Khortha/Khotta","Hindi","","","","","","","unresolved","",NA
"006160","Kulvi","Hindi","","","","","","","unresolved","",NA
"006162","Kumauni","Hindi","","","","","","","unresolved","",NA
"006165","Kurmali Thar","Hindi","","","","","","","unresolved","",NA
"006167","Labani","Hindi","","","","","","","unresolved","",NA
"006171","Lamani/Lambadi","Hindi","lamb1269","Lambadi","indo1319","lmn","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",10
"006172","Laria","Hindi","","","","","","","unresolved","",NA
"006174","Lodhi","Hindi","lodh1246","Lodhi","indo1319","lbm","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",11
"006179","Magadhi/Magahi","Hindi","maga1260","Magahi","indo1319","mag","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",7
"006187","Malvi","Hindi","malv1243","Malvi","indo1319","mup","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",7
"006188","Mandeali","Hindi","mand1409","Mandeali","indo1319","mjl","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",10
"006192","Marwari","Hindi","marw1260","Marwari (India)","indo1319","rwr","language","manual_country_disambiguation","accepted_manual","Indian Marwari (ISO rwr), not Pakistan Marwari or Shekhawati.",10
"006195","Mewari","Hindi","mewa1249","Mewari","indo1319","mtr","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",10
"006196","Mewati","Hindi","mewa1250","Mewati","indo1319","wtm","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",10
"006204","Nagpuria","Hindi","","","","","","","unresolved","",NA
"006210","Nimadi","Hindi","nima1243","Nimadi","indo1319","noe","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",7
"006213","Pahari","Hindi","","","","","","","unresolved","",NA
"006224","Panch Pargania","Hindi","","","","","","","unresolved","",NA
"006227","Pangwali","Hindi","pang1282","Pangwali","indo1319","pgg","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",12
"006234","Pawari/Powari","Hindi","","","","","","","unresolved","",NA
"006242","Rajasthani","Hindi","","","","","","","unresolved","",NA
"006251","Sadan/Sadri","Hindi","sadr1248","Sadri","indo1319","sck","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",10
"006259","Sirmauri","Hindi","sirm1239","Sirmauri","indo1319","srx","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",11
"006260","Sondwari","Hindi","","","","","","","unresolved","",NA
"006262","Sugali","Hindi","","","","","","","unresolved","",NA
"006264","Surgujia","Hindi","chha1249","Chhattisgarhi","indo1319","hne","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",6
"006265","Surjapuri","Hindi","surj1235","Surjapuri","indo1319","sjp","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",13
"006999","Others","Hindi","","","","","","","unresolved","",NA
"007002","Badaga","Kannada","bada1257","Badaga","drav1251","bfq","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",18
"007013","Kannada","Kannada","nucl1305","Kannada","drav1251","kan","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",20
"007021","Kuruba/Kurumba","Kannada","","","","","","","unresolved","",NA
"007999","Others","Kannada","","","","","","","unresolved","",NA
"008002","Kashmiri","Kashmiri","kash1277","Kashmiri","indo1319","kas","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",10
