"panel_unit_id","dist91_state_id","dist91_district_id","state_code_2001","district_code_2001","preferred_vanneman_pretrend_eligible","pretrend_geography_status","period_id","start_year","end_year","measure_id","domain","label","contains_estimated_source","start_value","end_value","change","population_1961"
"1308",NA,NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,11.4166568259906,11.5932512095081,0.1765943835175,90822
"1309",NA,NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,12.4778958787204,12.743209084086,0.265313205365601,262471
"1310",NA,NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,12.464266688236,12.7447595149987,0.2804928267627,258918
"1311",NA,NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,12.242447968243,12.5232309925463,0.280783024303298,207409
"1312",NA,NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.1535848742726,13.4936386164153,0.3400537421427,515857
"1313",NA,NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,12.6948397594091,12.8691729047378,0.174333145328701,326061
"1401","12",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.3360361842242,14.6201051911364,0.284069006912199,1682912
"1402","12","03","32","03",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,12.6507296202217,12.9334473246393,0.2827177044176,311991
"1403","12","04","32","04",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.1330642478035,14.4152779443261,0.2822136965226,1373763
"1404","12","05","32","05",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.1427921179791,14.4341292164133,0.2913370984342,1387192
"1405","12",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.1299044226027,14.3374790685326,0.207574645929901,1369429
"1406","12","07","32","07",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.3391645452891,14.5710675894,0.231903044110901,1688185
