"harmonized_component_id","vintage","state_code","district_code","unit_id","side"
"geo_component_0079",1991,"05","28","census1991__05__28","source"
"geo_component_0079",2001,"20","08","census2001__20__08","target"
"geo_component_0080",1991,"05","29","census1991__05__29","source"
"geo_component_0080",2001,"20","09","census2001__20__09","target"
"geo_component_0080",2001,"20","10","census2001__20__10","target"
"geo_component_0081",1991,"05","30","census1991__05__30","source"
"geo_component_0081",2001,"20","11","census2001__20__11","target"
"geo_component_0082",1991,"05","31","census1991__05__31","source"
"geo_component_0082",2001,"20","07","census2001__20__07","target"
"geo_component_0083",1991,"05","32","census1991__05__32","source"
"geo_component_0083",1991,"05","33","census1991__05__33","source"
"geo_component_0083",2001,"20","06","census2001__20__06","target"
"geo_component_0083",2001,"20","12","census2001__20__12","target"
"geo_component_0083",2001,"20","13","census2001__20__13","target"
"geo_component_0084",1991,"05","34","census1991__05__34","source"
"geo_component_0084",2001,"20","03","census2001__20__03","target"
"geo_component_0084",2001,"20","04","census2001__20__04","target"
"geo_component_0084",2001,"20","05","census2001__20__05","target"
"geo_component_0085",1991,"05","35","census1991__05__35","source"
"geo_component_0085",2001,"20","01","census2001__20__01","target"
"geo_component_0085",2001,"20","02","census2001__20__02","target"
"geo_component_0086",1991,"05","36","census1991__05__36","source"
"geo_component_0086",2001,"20","15","census2001__20__15","target"
"geo_component_0087",1991,"05","37","census1991__05__37","source"
"geo_component_0087",2001,"20","16","census2001__20__16","target"
"geo_component_0088",1991,"05","38","census1991__05__38","source"
"geo_component_0088",2001,"20","14","census2001__20__14","target"
"geo_component_0089",1991,"05","39","census1991__05__39","source"
"geo_component_0089",2001,"20","18","census2001__20__18","target"
"geo_component_0090",1991,"05","40","census1991__05__40","source"
"geo_component_0090",2001,"20","17","census2001__20__17","target"
"geo_component_0091",1991,"05","41","census1991__05__41","source"
"geo_component_0091",2001,"10","07","census2001__10__07","target"
"geo_component_0092",1991,"05","42","census1991__05__42","source"
