"source_unit_id","target_set_reference","n_targets_reference","target_set_candidate","n_targets_candidate","source_status"
"census1991__19__04","census2001__21__07|census2001__21__29",2,NA,NA,"reference_only"
"census1991__13__22","census2001__23__25",1,NA,NA,"reference_only"
"census1991__05__27","census2001__10__22|census2001__10__23",2,NA,NA,"reference_only"
"census1991__05__28","census2001__20__08",1,NA,NA,"reference_only"
"census1991__05__29","census2001__20__09|census2001__20__10",2,NA,NA,"reference_only"
"census1991__05__30","census2001__20__11",1,NA,NA,"reference_only"
"census1991__05__31","census2001__20__07",1,NA,NA,"reference_only"
"census1991__13__27","census2001__23__31",1,NA,NA,"reference_only"
"census1991__22__01","census2001__11__01",1,NA,NA,"reference_only"
"census1991__23__12","census2001__33__14|census2001__33__15|census2001__33__16|census2001__33__17",4,NA,NA,"reference_only"
"census1991__05__35","census2001__20__01|census2001__20__02",2,NA,NA,"reference_only"
"census1991__05__36","census2001__20__15",1,NA,NA,"reference_only"
"census1991__05__37","census2001__20__16",1,NA,NA,"reference_only"
"census1991__05__38","census2001__20__14",1,NA,NA,"reference_only"
"census1991__15__01","census2001__14__01",1,NA,NA,"reference_only"
"census1991__05__40","census2001__20__17",1,NA,NA,"reference_only"
"census1991__05__41","census2001__10__07",1,NA,NA,"reference_only"
"census1991__05__42","census2001__10__08",1,NA,NA,"reference_only"
"census1991__06__01","census2001__30__01",1,NA,NA,"reference_only"
"census1991__06__02","census2001__30__02",1,NA,NA,"reference_only"
"census1991__07__01","census2001__24__10",1,NA,NA,"reference_only"
"census1991__07__02","census2001__24__09",1,NA,NA,"reference_only"
"census1991__25__01","census2001__05__01",1,NA,NA,"reference_only"
"census1991__13__44","census2001__22__11|census2001__22__12|census2001__22__13",3,NA,NA,"reference_only"
"census1991__13__45","census2001__22__14|census2001__22__15|census2001__22__16",3,NA,NA,"reference_only"
"census1991__14__02","census2001__27__21",1,NA,NA,"reference_only"
"census1991__07__07","census2001__24__01",1,NA,NA,"reference_only"
"census1991__07__08","census2001__24__02|census2001__24__03",2,NA,NA,"reference_only"
"census1991__07__09","census2001__24__05",1,NA,NA,"reference_only"
"census1991__07__10","census2001__24__03|census2001__24__04|census2001__24__06",3,NA,NA,"reference_only"
"census1991__14__07","census2001__27__01|census2001__27__02",2,NA,NA,"reference_only"
"census1991__07__12","census2001__24__06|census2001__24__07",2,NA,NA,"reference_only"
"census1991__14__09","census2001__27__26",1,NA,NA,"reference_only"
"census1991__07__14","census2001__24__17|census2001__24__18",2,NA,NA,"reference_only"
"census1991__14__11","census2001__27__31",1,NA,NA,"reference_only"
"census1991__25__54","census2001__09__58",1,NA,NA,"reference_only"
