"state_key","district_key","target_unit_2001","n_candidate_targets","bridge_status","bridge_sources"
"uttar pradesh","kaushambi","pc2001__09__44",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","kheri","pc2001__09__23",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","kushinagar","pc2001__09__59",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","lalitpur","pc2001__09__37",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","lucknow","pc2001__09__27",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","maharajganj","pc2001__09__57",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","mahoba","pc2001__09__39",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","mainpuri","pc2001__09__18",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","mathura","pc2001__09__14",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","mau","pc2001__09__62",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","meerut","pc2001__09__07",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","mirzapur","pc2001__09__69",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","moradabad","pc2001__09__04",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","muzaffarnagar","pc2001__09__02",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","pashchim champaran",NA,0,"unresolved_no_deterministic_lineage",NA
"uttar pradesh","pilibhit","pc2001__09__21",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
