"target_unit_2001","dise_source_district_count_0708","dise_emi_enrollment_share_total_0708","dise_hindi_enrollment_share_total_0708","dise_english_share_english_hindi_0708","dise_private_enrollment_share_0708","dise_private_school_share_0708","dise_emi_gross_enrollment_ratio_age_6_13_0708","dise_elementary_gross_enrollment_ratio_age_6_13_0708","dise_english_identity_resolved_0708","dise_hindi_identity_resolved_0708","dise_baseline_years_observed","dise_emi_enrollment_share_total_0508_pooled","dise_age_6_13_baseline_years_observed","dise_emi_gross_enrollment_ratio_age_6_13_0508_pooled"
"pc2001__29__25",1,17.4117853590029,0,100,32.4389958452806,19.2307692307692,14.9015090758029,85.5828897988221,TRUE,TRUE,3,16.0947852051434,3,13.2418220459179
"pc2001__30__01",1,49.2646969971603,0,100,63.7399552897106,26.4302059496568,42.7738091343576,86.824464051455,TRUE,TRUE,3,47.8369690475709,3,41.1721428106853
"pc2001__31__01",1,28.703196347032,NA,NA,0,0,31.9422043200665,111.284485302172,TRUE,FALSE,3,21.6876284708915,3,20.6525302155112
"pc2001__32__01",1,7.6145719232536,NA,NA,44.3143351825024,40.7843137254902,5.74880275628473,75.4973859886841,TRUE,FALSE,3,7.18921419293344,3,5.45920978709103
"pc2001__32__02",1,7.4426695949796,0,100,74.1134872207065,73.364854215918,6.09423143514503,81.8823321037366,TRUE,TRUE,3,6.54082802690975,3,5.36400457833002
"pc2001__32__03",1,10.4321979745561,0,100,47.317158182135,39.6610169491525,9.22272266291689,88.4063232447363,TRUE,TRUE,3,7.10554362262047,3,6.21663019967817
"pc2001__32__04",1,8.57348642596708,0,100,69.5410303765754,69.3418940609952,7.47757103608204,87.2173893392334,TRUE,TRUE,3,6.54298372165244,3,5.43563297689883
"pc2001__32__05",1,5.15626266685755,0,100,62.1102488784171,58.1713462922966,4.49812078553236,87.2360675968765,TRUE,TRUE,3,3.68751768690302,3,3.04250990077374
"pc2001__32__06",1,11.5774672536518,NA,NA,65.187637103174,62.5133120340788,10.2669647797831,88.6805771490705,TRUE,FALSE,3,8.89581726236393,3,7.38826136906024
"pc2001__32__07",1,19.0772464334208,0,100,75.9010223883836,69.2771084337349,16.1335091191461,84.5693804682543,TRUE,TRUE,3,16.6051824930609,3,14.3047977602886
